# Copyright (C) 2020  Intel Corporation. All rights reserved.
# Your use of Intel Corporation's design tools, logic functions 
# and other software and tools, and any partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Intel Program License 
# Subscription Agreement, the Intel Quartus Prime License Agreement,
# the Intel FPGA IP License Agreement, or other applicable license
# agreement, including, without limitation, that your use is for
# the sole purpose of programming logic devices manufactured by
# Intel and sold by Intel or its authorized distributors.  Please
# refer to the applicable agreement for further details, at
# https://fpgasoftware.intel.com/eula.

# Quartus Prime Version 20.1.1 Build 720 11/11/2020 SJ Lite Edition
# File: C:\Users\Mrpip\Documents\Repositorios Git\microprocessor_fibonacci_dd2025\fpga_cyclonev\microprocessor_cyclonev.csv
# Generated on: Tue Dec 02 21:30:00 2025

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus Prime software.

To,Direction,Location,I/O Bank,VREF Group,Fitter Location,I/O Standard,Reserved,Current Strength,Slew Rate,Differential Pair,Transceiver Analog Settings Protocol,VCCR_GXB/VCCT_GXB Voltage,Transceiver I/O Pin Termination,Transceiver Dedicated Refclk Pin Termination,Transmitter Common Mode Driver Voltage,Transmitter Slew Rate Control,Transmitter Differential Output Voltage,Receiver Buffer Common Mode Voltage,Strict Preservation
display[24],Output,PIN_AA22,5A,B5A_N0,PIN_E11,,,,,,,,,,,,,,
display[23],Output,PIN_AC24,5A,B5A_N0,PIN_D12,,,,,,,,,,,,,,
display[22],Output,PIN_AC23,5A,B5A_N0,PIN_A13,,,,,,,,,,,,,,
display[21],Output,PIN_AC22,5A,B5A_N0,PIN_A9,,,,,,,,,,,,,,
display[20],Output,PIN_AD7,3A,B3A_N0,PIN_U25,,,,,,,,,,,,,,
display[19],Output,PIN_AD6,3A,B3A_N0,PIN_F26,,,,,,,,,,,,,,
display[18],Output,PIN_U20,5A,B5A_N0,PIN_AB26,,,,,,,,,,,,,,
display[17],Output,PIN_V22,5A,B5A_N0,PIN_N20,,,,,,,,,,,,,,
display[16],Output,PIN_V20,5A,B5A_N0,PIN_N24,,,,,,,,,,,,,,
display[15],Output,PIN_W21,5A,B5A_N0,PIN_M24,,,,,,,,,,,,,,
display[14],Output,PIN_W20,5A,B5A_N0,PIN_P21,,,,,,,,,,,,,,
display[13],Output,PIN_AA18,4A,B4A_N0,PIN_E15,,,,,,,,,,,,,,
display[12],Output,PIN_AD26,4A,B4A_N0,PIN_G12,,,,,,,,,,,,,,
display[11],Output,PIN_AB19,4A,B4A_N0,PIN_D15,,,,,,,,,,,,,,
display[10],Output,PIN_ae26,4A,B4A_N0,PIN_L11,,,,,,,,,,,,,,
display[9],Output,PIN_AE25,4A,B4A_N0,PIN_N12,,,,,,,,,,,,,,
display[8],Output,PIN_AC19,4A,B4A_N0,PIN_F16,,,,,,,,,,,,,,
display[7],Output,PIN_AF24,4A,B4A_N0,PIN_H13,,,,,,,,,,,,,,
display[6],Output,PIN_V19,4A,B4A_N0,PIN_A5,,,,,,,,,,,,,,
display[5],Output,PIN_V18,4A,B4A_N0,PIN_D11,,,,,,,,,,,,,,
display[4],Output,PIN_V17,4A,B4A_N0,PIN_B11,,,,,,,,,,,,,,
display[3],Output,PIN_W18,4A,B4A_N0,PIN_H8,,,,,,,,,,,,,,
display[2],Output,PIN_Y20,4A,B4A_N0,PIN_E13,,,,,,,,,,,,,,
display[1],Output,PIN_Y19,4A,B4A_N0,PIN_E10,,,,,,,,,,,,,,
display[0],Output,PIN_Y18,4A,B4A_N0,PIN_D13,,,,,,,,,,,,,,
next_program,Input,PIN_Y16,4A,B4A_N0,PIN_H12,,,,,,,,,,,,,,
prog_rdy,Output,PIN_K6,8A,B8A_N0,PIN_U12,,,,,,,,,,,,,,
rdaddr[9],Input,PIN_AE19,4A,B4A_N0,PIN_E6,,,,,,,,,,,,,,
rdaddr[8],Input,PIN_Y11,3B,B3B_N0,PIN_B20,,,,,,,,,,,,,,
rdaddr[7],Input,PIN_AC10,3B,B3B_N0,PIN_F22,,,,,,,,,,,,,,
rdaddr[6],Input,PIN_V10,3B,B3B_N0,PIN_F21,,,,,,,,,,,,,,
rdaddr[5],Input,PIN_AB10,3B,B3B_N0,PIN_C18,,,,,,,,,,,,,,
rdaddr[4],Input,PIN_W11,3B,B3B_N0,PIN_J21,,,,,,,,,,,,,,
rdaddr[3],Input,PIN_AC8,3B,B3B_N0,PIN_M22,,,,,,,,,,,,,,
rdaddr[2],Input,PIN_AD13,4A,B4A_N0,PIN_B14,,,,,,,,,,,,,,
rdaddr[1],Input,PIN_AE10,4A,B4A_N0,PIN_A14,,,,,,,,,,,,,,
rdaddr[0],Input,PIN_AC9,3B,B3B_N0,PIN_AF18,,,,,,,,,,,,,,
read_data[31],Output,,,,PIN_E25,,,,,,,,,,,,,,
read_data[30],Output,,,,PIN_A18,,,,,,,,,,,,,,
read_data[29],Output,,,,PIN_W26,,,,,,,,,,,,,,
read_data[28],Output,,,,PIN_L8,,,,,,,,,,,,,,
read_data[27],Output,,,,PIN_D22,,,,,,,,,,,,,,
read_data[26],Output,,,,PIN_C22,,,,,,,,,,,,,,
read_data[25],Output,,,,PIN_B26,,,,,,,,,,,,,,
read_data[24],Output,,,,PIN_J16,,,,,,,,,,,,,,
read_data[23],Output,,,,PIN_A21,,,,,,,,,,,,,,
read_data[22],Output,,,,PIN_E18,,,,,,,,,,,,,,
read_data[21],Output,,,,PIN_J23,,,,,,,,,,,,,,
read_data[20],Output,,,,PIN_H17,,,,,,,,,,,,,,
read_data[19],Output,,,,PIN_B7,,,,,,,,,,,,,,
read_data[18],Output,,,,PIN_B6,,,,,,,,,,,,,,
read_data[17],Output,,,,PIN_L9,,,,,,,,,,,,,,
read_data[16],Output,,,,PIN_J7,,,,,,,,,,,,,,
read_data[15],Output,,,,PIN_D7,,,,,,,,,,,,,,
read_data[14],Output,,,,PIN_K11,,,,,,,,,,,,,,
read_data[13],Output,,,,PIN_E16,,,,,,,,,,,,,,
read_data[12],Output,,,,PIN_B12,,,,,,,,,,,,,,
read_data[11],Output,,,,PIN_P26,,,,,,,,,,,,,,
read_data[10],Output,,,,PIN_B21,,,,,,,,,,,,,,
read_data[9],Output,,,,PIN_E24,,,,,,,,,,,,,,
read_data[8],Output,,,,PIN_M25,,,,,,,,,,,,,,
read_data[7],Output,,,,PIN_G10,,,,,,,,,,,,,,
read_data[6],Output,,,,PIN_N9,,,,,,,,,,,,,,
read_data[5],Output,,,,PIN_J10,,,,,,,,,,,,,,
read_data[4],Output,,,,PIN_F12,,,,,,,,,,,,,,
read_data[3],Output,,,,PIN_D6,,,,,,,,,,,,,,
read_data[2],Output,,,,PIN_H7,,,,,,,,,,,,,,
read_data[1],Output,,,,PIN_K6,,,,,,,,,,,,,,
read_data[0],Output,,,,PIN_J8,,,,,,,,,,,,,,
ready,Output,PIN_L7,8A,B8A_N0,PIN_G14,,,,,,,,,,,,,,
rx,Input,PIN_P20,5B,B5B_N0,PIN_B9,,,,,,,,,,,,,,
rx_done,Output,,,,PIN_F18,,,,,,,,,,,,,,
state[3],Output,,,,PIN_Y16,,,,,,,,,,,,,,
state[2],Output,,,,PIN_K10,,,,,,,,,,,,,,
state[1],Output,,,,PIN_M12,,,,,,,,,,,,,,
state[0],Output,,,,PIN_B10,,,,,,,,,,,,,,
tx,Output,PIN_T19,5A,B5A_N0,PIN_D10,,,,,,,,,,,,,,
tx_done,Output,,,,PIN_AE19,,,,,,,,,,,,,,
tx_start,Input,,,,PIN_W17,,,,,,,,,,,,,,
